,x
1,hsa-mir-1267
2,hsa-mir-1273c
3,hsa-mir-147b
4,hsa-mir-203a
5,hsa-mir-203b
6,hsa-mir-2115
7,hsa-mir-222
8,hsa-mir-29b-1
9,hsa-mir-3140
10,hsa-mir-3192
11,hsa-mir-3916
12,hsa-mir-3926-1
13,hsa-mir-3929
14,hsa-mir-4313
15,hsa-mir-4418
16,hsa-mir-4443
17,hsa-mir-4468
18,hsa-mir-4530
19,hsa-mir-4539
20,hsa-mir-4746
21,hsa-mir-4788
22,hsa-mir-4789
23,hsa-mir-497
24,hsa-mir-5009
25,hsa-mir-518a-1
26,hsa-mir-5196
27,hsa-mir-521-1
28,hsa-mir-539
29,hsa-mir-5579
30,hsa-mir-5684
31,hsa-mir-604
32,hsa-mir-628
33,hsa-mir-6499
34,hsa-mir-675
35,hsa-mir-6784
36,hsa-mir-6794
37,hsa-mir-6818
38,hsa-mir-6824
39,hsa-mir-6836
40,hsa-mir-6853
41,hsa-mir-6873
42,hsa-mir-6888
43,hsa-mir-7156
44,hsa-mir-7157
45,hsa-mir-767
46,hsa-mir-7848
47,hsa-mir-92a-2
48,hsa-mir-92b
49,hsa-mir-941-1
