,x
1,hsa-mir-1270
2,hsa-mir-148a
3,hsa-mir-186
4,hsa-mir-214
5,hsa-mir-216a
6,hsa-mir-219a-1
7,hsa-mir-2278
8,hsa-mir-301b
9,hsa-mir-3192
10,hsa-mir-378g
11,hsa-mir-378i
12,hsa-mir-3943
13,hsa-mir-4511
14,hsa-mir-4537
15,hsa-mir-4746
16,hsa-mir-4796
17,hsa-mir-509-1
18,hsa-mir-514a-3
19,hsa-mir-548k
20,hsa-mir-5571
21,hsa-mir-605
22,hsa-mir-625
23,hsa-mir-6500
24,hsa-mir-6790
25,hsa-mir-6862-2
26,hsa-mir-7851
27,hsa-mir-7974
28,hsa-mir-93
29,hsa-mir-933
