,x
1,hsa-mir-1267
2,hsa-mir-1273c
3,hsa-mir-147b
4,hsa-mir-2115
5,hsa-mir-222
6,hsa-mir-3140
7,hsa-mir-3192
8,hsa-mir-3926-1
9,hsa-mir-4313
10,hsa-mir-4418
11,hsa-mir-4530
12,hsa-mir-4746
13,hsa-mir-4788
14,hsa-mir-497
15,hsa-mir-5579
16,hsa-mir-5684
17,hsa-mir-604
18,hsa-mir-6499
19,hsa-mir-675
20,hsa-mir-6784
21,hsa-mir-6794
22,hsa-mir-6818
23,hsa-mir-6824
24,hsa-mir-6836
25,hsa-mir-6873
26,hsa-mir-6888
27,hsa-mir-7157
28,hsa-mir-767
29,hsa-mir-7848
30,hsa-mir-92a-2
