id	filename	md5	size	state
03d2af4b-0032-43b0-a49b-c9d4fe316e42	03d2af4b-0032-43b0-a49b-c9d4fe316e42/e9a0f14a-1f8e-4466-8c22-3b88ab6b03a6.mirbase21.mirnas.quantification.txt	a5df66e674b0315522f823cc03a248d3	50129	validated
0695d33b-04ec-4919-92ec-5604cf29794e	0695d33b-04ec-4919-92ec-5604cf29794e/4ae7b146-68b1-46b7-b973-9eb2128baacc.mirbase21.mirnas.quantification.txt	43428be63bf8bdfaa274f8a8bc7aea6a	50284	validated
0962589d-da9d-4a35-9d31-b34be9d5f0cc	0962589d-da9d-4a35-9d31-b34be9d5f0cc/3ab42558-86e6-4d36-a977-258c3656ba27.mirbase21.mirnas.quantification.txt	8eee8921860147a960e263911e5caa96	50165	validated
09729305-74a0-47c6-a78c-a819b1b3ea96	09729305-74a0-47c6-a78c-a819b1b3ea96/4f659b4e-e335-4fdd-acdd-f4d363440ef6.mirbase21.mirnas.quantification.txt	ef9d74ffae37cc036657d01e879b15c5	50275	validated
0d2c14c5-424f-4f03-8e0b-ca890c3e7fe0	0d2c14c5-424f-4f03-8e0b-ca890c3e7fe0/cc60786c-32d5-4a8d-9439-dfd61847580b.mirbase21.mirnas.quantification.txt	e50523a8bd39db8ffa4ea14dbd98e0fb	50332	validated
120a8002-353e-413e-be06-cd679ae63a0c	120a8002-353e-413e-be06-cd679ae63a0c/74765af0-0860-4a85-a788-ec981d9f71c3.mirbase21.mirnas.quantification.txt	8de9d564d29fa0a70c67e34f2654abdf	50227	validated
129e6714-f57e-4faf-9234-d49518dcee28	129e6714-f57e-4faf-9234-d49518dcee28/fba20f1c-3800-4494-89fd-13afab589b9f.mirbase21.mirnas.quantification.txt	dc8f7af34ce59913d7a5a15e976f8426	50180	validated
142abe6c-2b87-4dc3-bdbc-20bd96849130	142abe6c-2b87-4dc3-bdbc-20bd96849130/617626ba-04e4-45f0-83da-4f2d386a396a.mirbase21.mirnas.quantification.txt	1feeb3ff99dff27d2654df08da4f5889	50199	validated
14d25bf8-ab6b-43d3-ae13-e3092eb9fe68	14d25bf8-ab6b-43d3-ae13-e3092eb9fe68/ca44698c-e99e-4789-a606-28b44af5d8e8.mirbase21.mirnas.quantification.txt	5dd8e3cdd53291df213a88233127ebab	50269	validated
18a28a39-8b0d-44a3-9aa7-a1075c9ed2fc	18a28a39-8b0d-44a3-9aa7-a1075c9ed2fc/5b3bd1e9-bde7-4821-8694-53bffd484b15.mirbase21.mirnas.quantification.txt	bf20e3ef4b2005ecf8904e829d9f5877	50380	validated
196005c2-f88b-4b75-beec-95b9daa1cf9e	196005c2-f88b-4b75-beec-95b9daa1cf9e/056f33a9-2429-47a7-9767-f535dccc224a.mirbase21.mirnas.quantification.txt	d35e1ce00814a2d349eee9cf83bb5fec	50118	validated
1a4121a4-48b3-4524-8f7e-ce162ca89af4	1a4121a4-48b3-4524-8f7e-ce162ca89af4/4c1e41e7-725e-477d-95e5-17befad245a5.mirbase21.mirnas.quantification.txt	284ecfdc42282e24ed02016419263e0f	50272	validated
1abcc218-5d02-47a7-80a3-1953ce597c20	1abcc218-5d02-47a7-80a3-1953ce597c20/6792b31d-008b-4c0b-8122-6ef29bb85707.mirbase21.mirnas.quantification.txt	dca6d6efb89a76d9433df37d6d413a9c	50444	validated
1b7d678a-bdeb-4582-a2eb-418f17dbd355	1b7d678a-bdeb-4582-a2eb-418f17dbd355/4022b5bd-4978-42e8-8130-b57b3a46b7ea.mirbase21.mirnas.quantification.txt	3fc4fafdeeb1c53f229c0bf4eab1f6ba	50361	validated
1b958bb0-16a0-41f1-8618-8d4b6ce0c22c	1b958bb0-16a0-41f1-8618-8d4b6ce0c22c/3de8cfb4-e769-4c4c-8930-ee9619bec3a5.mirbase21.mirnas.quantification.txt	187c30692a9ea4e5ae04e85ce6d4bfca	50431	validated
1bc3dd97-de24-4ffe-8deb-22857c39f65c	1bc3dd97-de24-4ffe-8deb-22857c39f65c/2a432355-6a89-4f03-934d-de0c6a8ed907.mirbase21.mirnas.quantification.txt	cca29982cd692cead8162f7e8f6a0801	50266	validated
1faeb00b-93aa-489f-8612-dbcb69353b33	1faeb00b-93aa-489f-8612-dbcb69353b33/cd3c7eb0-1dcc-4199-82fd-385139002a1e.mirbase21.mirnas.quantification.txt	0d2649e873dd04a4ed29331087d5667d	50483	validated
280101b0-f528-4adc-be81-ff77522756da	280101b0-f528-4adc-be81-ff77522756da/60748b7b-a395-407d-a980-aa0e16f7adb9.mirbase21.mirnas.quantification.txt	8e80f4c49cdbf16397be0f32899ce270	50287	validated
29a55ada-ed8f-4541-ad88-5e1f080cefbd	29a55ada-ed8f-4541-ad88-5e1f080cefbd/c3478c98-0e20-4059-8271-4b9afb66d6b4.mirbase21.mirnas.quantification.txt	fbe1ae31a7142cc0a416a20e960aaf50	50068	validated
30325d3a-4563-48ff-87a9-2645d222b469	30325d3a-4563-48ff-87a9-2645d222b469/35ab51e3-aa59-4b00-9554-068064c5fbea.mirbase21.mirnas.quantification.txt	39d7c2e569eb03cc3a878733298e58ae	50048	validated
318c24fd-c0f9-4a11-a96e-52f4ec489942	318c24fd-c0f9-4a11-a96e-52f4ec489942/559df187-6d48-49d4-825d-80d9d0cbf8c0.mirbase21.mirnas.quantification.txt	3a8c7bbe36381a99b43bdabefc14abc0	50362	validated
3728332b-48dc-4cd2-a195-14c15061acda	3728332b-48dc-4cd2-a195-14c15061acda/36f5501e-6be3-4f70-b981-645a3044b652.mirbase21.mirnas.quantification.txt	09cac98848de9e1b819efa5566459f18	50147	validated
3c5f619c-9a12-47cb-aa37-4124ca50beb0	3c5f619c-9a12-47cb-aa37-4124ca50beb0/1e93f0a7-1ca8-4ea6-b917-e166e7508819.mirbase21.mirnas.quantification.txt	3a43a317ff743d3e024e8b289a540317	50363	validated
405a83a4-e5b8-4ba6-bec6-5e884bd26bf7	405a83a4-e5b8-4ba6-bec6-5e884bd26bf7/d72ae1bb-2005-4654-b2f1-a815e7a9aeb6.mirbase21.mirnas.quantification.txt	8955dbfd5c26bc21c325330f422c4bcf	50231	validated
42f934f0-791d-45db-9f65-23bc66a7d9e9	42f934f0-791d-45db-9f65-23bc66a7d9e9/bb8dc653-3446-403a-af8e-c79e700c7ab0.mirbase21.mirnas.quantification.txt	60f1db7d453ea72017887a1b648ac66b	50304	validated
4a976c0a-d3d1-4655-bd1e-ca4f4ec94b1c	4a976c0a-d3d1-4655-bd1e-ca4f4ec94b1c/e2659515-39da-4e65-b7b0-af85f76fc3c9.mirbase21.mirnas.quantification.txt	268c4c2f0630a8c1587dcacdfe4b10c0	50410	validated
4b239b18-ecf6-4df9-ae9e-a630f798f11d	4b239b18-ecf6-4df9-ae9e-a630f798f11d/e45dce70-fc80-4eaa-af26-d934d73f6c1a.mirbase21.mirnas.quantification.txt	2b57f77d9e034e33c1698e6ad03809e3	50223	validated
4bd81eb2-ecf5-4e90-a432-2871196415a1	4bd81eb2-ecf5-4e90-a432-2871196415a1/07708b3c-5a20-4964-883c-f508935a5676.mirbase21.mirnas.quantification.txt	2c987e4302e737b8bce53aa91ddcb052	50246	validated
51d53856-444f-40f5-8313-75153ab11d53	51d53856-444f-40f5-8313-75153ab11d53/56d7e454-061d-4af1-b72e-154ce9d395ea.mirbase21.mirnas.quantification.txt	bc2ebf4552ca374882bbdcd367321b36	50393	validated
5364ad12-30c5-4a84-94e6-772d6d6a5344	5364ad12-30c5-4a84-94e6-772d6d6a5344/313bf802-3721-4ec1-87fd-3bab7c541f32.mirbase21.mirnas.quantification.txt	56cdef5fe7034bd1c44f0d5998bce9bd	50126	validated
550f465e-bcda-4c3e-aa8f-c05063d5307d	550f465e-bcda-4c3e-aa8f-c05063d5307d/e79c63db-7a28-4079-b4c3-c3b511c92934.mirbase21.mirnas.quantification.txt	d994077164725f4cb96af14f7a49e333	50477	validated
57189b44-c62b-4182-800e-e41f6322edc1	57189b44-c62b-4182-800e-e41f6322edc1/0a07b199-d93d-4202-a63a-b38e39dc5ca4.mirbase21.mirnas.quantification.txt	ed15e80ab71ff424270400257932d01e	50178	validated
574e455f-c91b-4b33-b01d-eb18f9a904a2	574e455f-c91b-4b33-b01d-eb18f9a904a2/6ab6b5fa-0704-4636-8a23-4916811be004.mirbase21.mirnas.quantification.txt	36715437e59db7ed84c46610984420d2	50267	validated
586bcf84-4b83-458f-8d9d-1cdc39b4af83	586bcf84-4b83-458f-8d9d-1cdc39b4af83/3b89783c-8650-45f3-ac39-96b8cb4c911e.mirbase21.mirnas.quantification.txt	8aa4f55cf2bd31be94e56c207f6daa30	50420	validated
5ce3a8ff-43f2-4087-833d-1c8716ef96b4	5ce3a8ff-43f2-4087-833d-1c8716ef96b4/5bc471e6-be47-4551-aa40-bd6c7633015f.mirbase21.mirnas.quantification.txt	39e4678a2b22cda69134fcee2aa71264	50073	validated
6187ed4b-3719-4a8a-8d35-d9149e1e12a2	6187ed4b-3719-4a8a-8d35-d9149e1e12a2/dd3f7c1a-dc74-49a5-add6-d5565e1c5b89.mirbase21.mirnas.quantification.txt	82eb4a80981b1eefcab0d189f0d2522e	50268	validated
63111a58-b63a-410a-86f6-a34c1813d509	63111a58-b63a-410a-86f6-a34c1813d509/f796e328-7a09-4ee3-b7e9-76db92e849bf.mirbase21.mirnas.quantification.txt	c3dbe547fcf47181408d1698a337fba3	50120	validated
648ee215-024f-4df8-a46a-25465eb29312	648ee215-024f-4df8-a46a-25465eb29312/04f92f91-dfa4-45e5-8817-612c170610aa.mirbase21.mirnas.quantification.txt	f74fcf8bb7a3d39a227b4963c9f0c4ea	50549	validated
